datetime,CODNEG,adj_close
2016-03-15,EZTC3,10.9388
2016-03-16,EZTC3,11.2106
2016-03-17,EZTC3,11.6220
2016-03-18,EZTC3,11.9746
2016-03-21,EZTC3,11.8057
2016-03-22,EZTC3,12.0114
2016-03-23,EZTC3,11.9820
2016-03-24,EZTC3,11.6955
2016-03-28,EZTC3,12.1143
2016-03-29,EZTC3,12.1583
2016-03-30,EZTC3,12.1803
2016-03-31,EZTC3,11.9894
2016-04-01,EZTC3,11.9012
2016-04-04,EZTC3,11.5706
2016-04-05,EZTC3,11.6955
2016-04-06,EZTC3,11.3649
2016-04-07,EZTC3,11.3428
2016-04-08,EZTC3,12.2318
2016-04-11,EZTC3,12.2024
2016-04-12,EZTC3,12.7387
2016-04-13,EZTC3,12.5035
2016-04-14,EZTC3,12.4375
2016-04-15,EZTC3,12.4889
2016-04-18,EZTC3,12.7901
2016-04-19,EZTC3,12.7460
2016-04-20,EZTC3,12.2538
2016-04-22,EZTC3,11.6808
2016-04-25,EZTC3,11.4825
2016-04-26,EZTC3,11.9012
2016-04-27,EZTC3,12.3934
2016-04-28,EZTC3,12.4816
2016-04-29,EZTC3,12.2685
2016-05-02,EZTC3,12.7411
2016-05-03,EZTC3,12.2817
2016-05-04,EZTC3,12.4540
2016-05-05,EZTC3,12.3555
2016-05-06,EZTC3,12.0766
2016-05-09,EZTC3,12.1668
2016-05-10,EZTC3,12.7575
2016-05-11,EZTC3,13.1267
2016-05-12,EZTC3,13.7420
2016-05-13,EZTC3,13.6518
2016-05-16,EZTC3,13.2744
2016-05-17,EZTC3,12.8314
